

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID


08/27/2015 5:01:10 pm,DN,27776,27.1 MB,40620,39.67,5078,4.96,DASKAjA,771931041826,deutsche_telekom_ag,65------de,37RmJAVc
08/27/2015 4:45:57 pm,DN,45312,44.3 MB,45446,44.38,5681,5.55,DASKAjA,771931041826,deutsche_telekom_ag,65------de,mZya492j
08/27/2015 4:30:36 pm,DN,43392,42.4 MB,45213,44.15,5652,5.52,DASKAjA,771931041826,deutsche_telekom_ag,65------de,7xAeZuLS
08/27/2015 4:15:14 pm,DN,40192,39.3 MB,41975,40.99,5247,5.12,DASKAjA,771931041826,deutsche_telekom_ag,65------de,rbt0OW3y
08/27/2015 4:00:12 pm,DN,44160,43.1 MB,46343,45.26,5793,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,l9iIW1LH
08/27/2015 3:45:11 pm,DN,44800,43.8 MB,46129,45.05,5766,5.63,DASKAjA,771931041826,deutsche_telekom_ag,65------de,knoPthQw
08/27/2015 3:30:09 pm,DN,45056,44 MB,45429,44.36,5679,5.55,DASKAjA,771931041826,deutsche_telekom_ag,65------de,endEuxMF
08/27/2015 3:15:09 pm,DN,46592,45.5 MB,46283,45.2,5785,5.65,DASKAjA,771931041826,deutsche_telekom_ag,65------de,Jrcf2nT9
08/27/2015 3:00:07 pm,DN,45696,44.6 MB,46520,45.43,5815,5.68,DASKAjA,771931041826,deutsche_telekom_ag,65------de,0tNkBcAb
08/27/2015 2:45:04 pm,DN,43904,42.9 MB,46294,45.21,5787,5.65,DASKAjA,771931041826,deutsche_telekom_ag,65------de,SFeBZ9I5
08/27/2015 2:30:04 pm,DN,46080,45 MB,46581,45.49,5823,5.69,DASKAjA,771931041826,deutsche_telekom_ag,65------de,l2pImonb
08/27/2015 2:14:43 pm,DN,42880,41.9 MB,46519,45.43,5815,5.68,DASKAjA,771931041826,deutsche_telekom_ag,65------de,HClbj3S1
08/27/2015 1:59:41 pm,DN,44928,43.9 MB,46589,45.5,5824,5.69,DASKAjA,771931041826,deutsche_telekom_ag,65------de,N7das4gf
08/27/2015 1:44:40 pm,DN,45568,44.5 MB,46384,45.3,5798,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,yf8po9vi
08/27/2015 1:29:39 pm,DN,44416,43.4 MB,46163,45.08,5770,5.64,DASKAjA,771931041826,deutsche_telekom_ag,65------de,Nb2wxnZk
08/27/2015 1:14:19 pm,DN,42496,41.5 MB,44045,43.01,5506,5.38,DASKAjA,771931041826,deutsche_telekom_ag,65------de,RFUm5siA
08/27/2015 12:59:16 pm,DN,45824,44.8 MB,46391,45.3,5799,5.66,DASKAjA,771931041826,deutsche_telekom_ag,65------de,LS9K6HrA
08/27/2015 12:44:14 pm,DN,42496,41.5 MB,46490,45.4,5811,5.68,DASKAjA,771931041826,deutsche_telekom_ag,65------de,Ti94E5VF
08/27/2015 12:29:14 pm,DN,43136,42.1 MB,46470,45.38,5809,5.67,DASKAjA,771931041826,deutsche_telekom_ag,65------de,Jxych6md
